tagName,fieldName,tagDec,tagHex,type,count
Aperture,ApertureValue,37378,9202,RATIONAL,1,
Body Serial Number,BodySerialNumber,42033,A431,ASCII,Any,
Brightness,BrightnessValue,37379,9203,SRATIONAL,1,
Bytes of JPEG data,JPEGInterchangeFormatLength,514,202,LONG,1,
Bytes per compressed strip,StripByteCounts,279,117,SHORT or LONG,*S,
Camera Owner Name,CameraOwnerName,42032,A430,ASCII,Any,
CFA pattern,CFAPattern,41730,A302,UNDEFINED,Any,
Chromaticities of primaries,PrimaryChromaticities,319,13F,RATIONAL,6,
Color space information,ColorSpace,40961,A001,SHORT,1,
Color space transformation matrix coefficients,YCbCrCoefficients,529,211,RATIONAL,3,
Compression scheme,Compression,259,103,SHORT,1,
Components Configuration,ComponentsConfiguration,37121,9101,UNDEFINED,4,
Contrast,Contrast,41992,A408,SHORT,1,
Copyright holder,Copyright,33432,8298,ASCII,Any,
Custom image processing,CustomRendered,41985,A401,SHORT,1,
Date and time of digital data generation,DateTimeDigitized,36868,9004,ASCII,20,
Date and time of original data generation,DateTimeOriginal,36867,9003,ASCII,20,
DateTime subseconds,SubSecTime,37520,9290,ASCII,Any,
DateTimeDigitized subseconds,SubSecTimeDigitized,37522,9292,ASCII,Any,
DateTimeOriginal subseconds,SubSecTimeOriginal,37521,9291,ASCII,Any,
Device settings description,DeviceSettingDescription,41995,A40B,UNDEFINED,Any,
Digital zoom ratio,DigitalZoomRatio,41988,A404,RATIONAL,1,
Exif IFD Pointer,ExifIFDPointer,34665,8769,LONG,1,
Exif version,ExifVersion,36864,9000,UNDEFINED,4,
Exposure bias,ExposureBiasValue,37380,9204,SRATIONAL,1,
Exposure index,ExposureIndex,41493,A215,RATIONAL,1,
Exposure mode,ExposureMode,41986,A402,SHORT,1,
Exposure program,ExposureProgram,34850,8822,SHORT,1,
Exposure time,ExposureTime,33434,829A,RATIONAL,1,
F number,FNumber,33437,829D,RATIONAL,1,
File change date and time,DateTime,306,132,ASCII,20,
File source,FileSource,41728,A300,UNDEFINED,1,
Flash,Flash,37385,9209,SHORT,1,
Flash energy,FlashEnergy,41483,A20B,RATIONAL,1,
Focal length in 35 mm film,FocalLengthIn35mmFilm,41989,A405,SHORT,1,
Focal plane resolution unit,FocalPlaneResolutionUnit,41488,A210,SHORT,1,
Focal plane X resolution,FocalPlaneXResolution,41486,A20E,RATIONAL,1,
Focal plane Y resolution,FocalPlaneYResolution,41487,A20F,RATIONAL,1,
Gain control,GainControl,41991,A407,SHORT,1,
Image compression mode,CompressedBitsPerPixel,37122,9102,RATIONAL,1,
Image data arrangement,PlanarConfiguration,284,11C,SHORT,1,
Image data location,StripOffsets,273,111,SHORT or LONG *,S,
Image height,ImageLength,257,101,SHORT or LONG,1,
Image input equipment Manufacturer,Make,271,10F,ASCII,Any,
Image input equipment model,Model,272,110,ASCII,Any,
Image resolution in height direction,YResolution,283,11B,RATIONAL,1,
Image resolution in width direction,XResolution,282,11A,RATIONAL,1,
Image title,ImageDescription,270,10E,ASCII,Any,
Image width,ImageWidth,256,100,SHORT or LONG,1,
